number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
16,2.2439805683439302,2025-12-13 11:32:33.069414,2025-12-13 11:32:34.332436,0 days 00:00:01.263022,0.7566675126171527,3.406675696919728,0.026101998697643042,7,4.106361016580467,744,0.5310371855342773,0.5041558356321726,0.7818652544103508,COMPLETE
17,2.2665503864936136,2025-12-13 11:32:34.332868,2025-12-13 11:32:36.477857,0 days 00:00:02.144989,0.7907818143565719,4.8962172898414735,0.00900061274468877,8,1.9844958671536044,605,0.12707564101688307,1.2703095772224857,0.9830587726140323,COMPLETE
18,2.260979874975625,2025-12-13 11:32:36.478303,2025-12-13 11:32:38.950220,0 days 00:00:02.471917,0.674291924194864,2.464893782838784,0.01068034091846246,7,1.2590509309457336,1153,0.0025161288307868346,2.974925571987294,0.9043227487433597,COMPLETE
19,2.42549114868958,2025-12-13 11:32:38.950677,2025-12-13 11:32:41.624845,0 days 00:00:02.674168,0.8779282898813562,3.503680578944008,0.00506388932510588,8,3.251321387890457,762,0.8989954608305964,1.0054671681280172,0.8472039656528579,COMPLETE
20,2.6191309810867516,2025-12-13 11:32:41.625301,2025-12-13 11:32:43.510859,0 days 00:00:01.885558,0.6397999941530719,0.07524432212364918,0.008347419134114928,5,5.439969111828885,960,0.15612132579488502,1.512822958464986,0.7980851791212831,COMPLETE
21,2.2532694834082863,2025-12-13 11:32:43.511342,2025-12-13 11:32:45.041567,0 days 00:00:01.530225,0.660627946068774,2.36813498129448,0.013450927692218456,7,2.328177955885237,545,0.10162693847017053,1.0960943134255392,0.934866065357201,COMPLETE
22,2.21235885986714,2025-12-13 11:32:45.042045,2025-12-13 11:32:46.434532,0 days 00:00:01.392487,0.7225462311499768,2.165032725510031,0.015100174399896738,7,2.275400330912918,572,0.09104002630362039,0.523194265350718,0.9246060202445517,COMPLETE
23,2.13949862081427,2025-12-13 11:32:46.434987,2025-12-13 11:32:47.354335,0 days 00:00:00.919348,0.7330065162663119,1.2219449753888203,0.026110192048211453,8,1.8532152512507056,620,0.21837694745643638,0.5740661238073513,0.9486811655021653,COMPLETE
24,2.2019504816499373,2025-12-13 11:32:47.354859,2025-12-13 11:32:48.291323,0 days 00:00:00.936464,0.764967073538406,1.5664934982139183,0.02831317160494049,8,1.7142611608924465,631,0.20358507191074912,1.5313065606863345,0.9640773871391656,COMPLETE
25,2.292821865987008,2025-12-13 11:32:48.291789,2025-12-13 11:32:49.236805,0 days 00:00:00.945016,0.6027199568967782,2.8427754951129613,0.02755606375011087,8,1.179625040147626,789,0.31654079434411914,2.5984219353005344,0.8890107322141708,COMPLETE
26,2.137941032201661,2025-12-13 11:32:49.237268,2025-12-13 11:32:50.391071,0 days 00:00:01.153803,0.6986653662940394,1.1570795466504693,0.022223559456928683,8,3.1017996024830823,483,0.4611374612579879,0.8423110943502052,0.9597456553412559,COMPLETE
27,2.1717357148628476,2025-12-13 11:32:50.391516,2025-12-13 11:32:51.588891,0 days 00:00:01.197375,0.7251432460195701,1.1046859089142105,0.022841717197904576,7,4.343200787264578,489,0.4920621748969247,0.9703970237184418,0.9516158114392068,COMPLETE
28,2.2183647924027374,2025-12-13 11:32:51.589406,2025-12-13 11:32:52.828889,0 days 00:00:01.239483,0.8047765425104697,1.1683942107631633,0.022537906672329633,7,4.409851076696661,483,0.507347061780188,1.7267699864070196,0.9659685561891025,COMPLETE
29,2.2268884088005825,2025-12-13 11:32:52.829337,2025-12-13 11:32:53.858443,0 days 00:00:01.029106,0.9132337945988246,0.5295179655336033,0.03431770368323308,7,4.818005524241835,401,0.4356384318444367,0.9450505528696419,0.9482952782059676,COMPLETE
30,2.235130355083101,2025-12-13 11:32:53.858886,2025-12-13 11:32:54.722503,0 days 00:00:00.863617,0.753925895718868,1.1255066009638617,0.03706747081922925,8,3.6875601893124657,495,0.4518581281906254,1.7516681550639515,0.9970133649943318,COMPLETE
31,2.1620734612479375,2025-12-13 11:32:54.723004,2025-12-13 11:32:55.949538,0 days 00:00:01.226534,0.7043026074443195,0.7930181102708622,0.02323393856233026,8,2.8131590891034466,604,0.5895902047444025,0.8438992796115559,0.9651561294886517,COMPLETE
32,2.167829821936294,2025-12-13 11:32:55.950082,2025-12-13 11:32:57.138840,0 days 00:00:01.188758,0.7181476712944396,0.7980529403869028,0.02332752606202628,8,2.909640246221928,451,0.6060162998412228,1.0783020562290475,0.964326075435198,COMPLETE
33,2.091900943959911,2025-12-13 11:32:57.139286,2025-12-13 11:32:58.321964,0 days 00:00:01.182678,0.7007692990514951,0.24740913683859356,0.03131704699699944,8,2.797902463027109,437,0.5850549869029064,0.9054869160845842,0.9076917159874688,COMPLETE
34,2.154387580415049,2025-12-13 11:32:58.322394,2025-12-13 11:32:59.794132,0 days 00:00:01.471738,0.6999675479034968,0.009290705098194518,0.047905925343289996,8,2.9016574681125897,597,0.7712002314096985,1.4495314440209093,0.9086963685729251,COMPLETE
35,2.1785537445898373,2025-12-13 11:32:59.794574,2025-12-13 11:33:01.110700,0 days 00:00:01.316126,0.7783845948846075,0.010274978901507237,0.0473449820882687,8,6.1758380520898335,426,0.8606766106276881,1.5179994479325947,0.9048967495964426,COMPLETE
36,2.173508482364545,2025-12-13 11:33:01.111233,2025-12-13 11:33:02.292244,0 days 00:00:01.181011,0.7459432418378287,0.27245296656312445,0.04328568019946722,8,3.8131199270837364,516,0.739045407019382,2.2580840206743993,0.8885287907675635,COMPLETE
37,2.756757219750939,2025-12-13 11:33:02.292731,2025-12-13 11:33:03.022972,0 days 00:00:00.730241,0.6914676218637402,0.4077223012216952,0.03197693963816858,4,4.890063371102799,445,0.9949057396415713,2.5824060251743477,0.911067154512551,COMPLETE
38,2.3166015143122993,2025-12-13 11:33:03.023441,2025-12-13 11:33:03.866655,0 days 00:00:00.843214,0.8237747559763179,1.845571266524467,0.043908396036763116,6,1.7985185669386463,585,0.8161642137044323,1.2892015515159136,0.937806761863902,COMPLETE
39,2.8337395228891196,2025-12-13 11:33:03.867086,2025-12-13 11:33:04.903568,0 days 00:00:01.036482,0.6404512385297482,1.3134409072784876,0.01775602611407075,4,3.0303152198380237,630,0.36595853265411527,2.9904298714625535,0.7324003379404137,COMPLETE
