number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
10,2.295158492330983,2025-12-13 11:25:23.665820,2025-12-13 11:25:26.662692,0 days 00:00:02.996872,0.6803261960282422,4.8418768189211026,0.010723014020085325,8,1.5125451095016542,1127,0.22717131177544758,4.95743797924572,0.6291353800327731,COMPLETE
11,2.29067958015229,2025-12-13 11:25:26.663157,2025-12-13 11:25:29.850533,0 days 00:00:03.187376,0.6529355695694468,4.977216141112592,0.010180963992417025,8,1.4235632208414344,1197,0.22313656299169962,4.8736177133442435,0.6166506553756961,COMPLETE
12,2.4386958928123343,2025-12-13 11:25:29.850989,2025-12-13 11:25:33.091749,0 days 00:00:03.240760,0.6111705157741125,3.971319528512215,0.005529677277152487,7,3.46354911349513,1197,0.25781061215293577,3.775009672405547,0.6089675868566894,COMPLETE
13,2.3093491803080677,2025-12-13 11:25:33.092219,2025-12-13 11:25:35.713643,0 days 00:00:02.621424,0.734231995002086,3.6269519248462725,0.011206372117163787,7,1.0595823730139484,976,0.013117385240331125,4.944898417834198,0.6948535520803839,COMPLETE
14,2.2994754352996,2025-12-13 11:25:35.714115,2025-12-13 11:25:37.565341,0 days 00:00:01.851226,0.7625382254381623,4.97732532316342,0.019940841273956178,8,7.841904910211321,1031,0.588206986214005,2.2762817847757213,0.6880640331801285,COMPLETE
15,2.4193953135710187,2025-12-13 11:25:37.565784,2025-12-13 11:25:39.598111,0 days 00:00:02.032327,0.621106427166782,4.229784273064154,0.011062667851974864,6,4.190712175150835,874,0.18768440664176111,3.3461968757979914,0.6595039480700333,COMPLETE
16,2.248936777507996,2025-12-13 11:25:39.598555,2025-12-13 11:25:42.878821,0 days 00:00:03.280266,0.8123825200028174,0.0943197217292191,0.020869642669582283,8,9.99313915127307,1111,0.3635325212232452,4.200114473197695,0.7295551552420622,COMPLETE
17,2.300153111590988,2025-12-13 11:25:42.879296,2025-12-13 11:25:45.154793,0 days 00:00:02.275497,0.8106141995828468,2.171009696455623,0.019551601851510943,7,9.571706573494989,935,0.3711317462337194,3.963120561777914,0.7537310506902875,COMPLETE
18,2.6608392826540572,2025-12-13 11:25:45.155246,2025-12-13 11:25:46.881640,0 days 00:00:01.726394,0.7407510540490837,0.16645989010845702,0.020215233483851975,4,8.440857966347084,1065,0.5996394294457261,3.065158819789649,0.7492728330046864,COMPLETE
19,2.413854452833729,2025-12-13 11:25:46.882116,2025-12-13 11:25:49.384809,0 days 00:00:02.502693,0.8360454870776209,3.2690056370791685,0.013554845140920535,6,9.9774105571298,1102,0.5085947726559371,3.7792762930722836,0.7045394399346564,COMPLETE
20,2.2254606763653193,2025-12-13 11:25:49.385277,2025-12-13 11:25:51.985953,0 days 00:00:02.600676,0.7703797000420911,0.4595913072081208,0.0239974550530497,8,7.3385440656111385,919,0.8633229364824941,4.432402989625294,0.7729454423063776,COMPLETE
21,2.290948640599517,2025-12-13 11:25:51.986402,2025-12-13 11:25:53.212541,0 days 00:00:01.226139,0.7735626879763481,0.18193143095002462,0.02444092435499341,8,7.161695709083626,402,0.85890868489033,4.425940357457142,0.7661295634109815,COMPLETE
22,2.278951153743543,2025-12-13 11:25:53.213091,2025-12-13 11:25:55.410601,0 days 00:00:02.197510,0.6971557321530237,0.5091563756849781,0.03361868744276053,7,8.665149800056705,901,0.8563680544712385,4.293206104258195,0.7158710157649566,COMPLETE
23,2.279846329666886,2025-12-13 11:25:55.411115,2025-12-13 11:25:57.359116,0 days 00:00:01.948001,0.6999737253335598,0.7094623633723025,0.036988181281954996,7,8.844890478829953,911,0.8908225670878682,4.384091626553785,0.719930997664546,COMPLETE
24,2.1878009982228717,2025-12-13 11:25:57.359576,2025-12-13 11:25:59.453966,0 days 00:00:02.094390,0.6987127667335039,0.4748506731542209,0.02373520743069475,7,8.49842501095624,788,0.8746035386937177,4.647512721209751,0.8571547344498578,COMPLETE
25,2.2289023938164463,2025-12-13 11:25:59.454399,2025-12-13 11:26:01.313784,0 days 00:00:01.859385,0.7801788539843758,1.3021618061464013,0.023487815695083996,8,7.697174603255836,782,0.6878838130538633,4.746853134683369,0.8720873327294647,COMPLETE
26,2.2808852083407327,2025-12-13 11:26:01.314239,2025-12-13 11:26:03.075110,0 days 00:00:01.760871,0.7668122830827853,1.290933680903553,0.024301178832717152,6,7.4916046368619105,771,0.6999816450744428,4.655699611293609,0.8606714655656595,COMPLETE
27,2.234393603367514,2025-12-13 11:26:03.075545,2025-12-13 11:26:05.295681,0 days 00:00:02.220136,0.7334068594226327,1.3454261588663443,0.017720537810305876,7,8.180371982981075,819,0.9345565353561442,3.768531373703004,0.8999477725531264,COMPLETE
28,2.231545659797093,2025-12-13 11:26:05.296115,2025-12-13 11:26:06.499419,0 days 00:00:01.203304,0.6575197320231005,1.6763157902798325,0.03952251762758223,8,6.900863552788729,688,0.814750292143859,4.790785512462408,0.7841895204068527,COMPLETE
29,2.239908278283903,2025-12-13 11:26:06.499844,2025-12-13 11:26:08.859095,0 days 00:00:02.359251,0.7779146848930785,0.48959013875882385,0.0239808321567779,7,6.088106309859975,845,0.6785881669037773,4.644542807759256,0.843684929775579,COMPLETE
30,2.265249906483909,2025-12-13 11:26:08.859556,2025-12-13 11:26:10.101829,0 days 00:00:01.242273,0.7151778075963858,1.9861766638782399,0.029043655120589065,8,5.4181570649973185,740,0.9020088759478146,4.020341372364712,0.9100635041292563,COMPLETE
31,2.2550767030863015,2025-12-13 11:26:10.102273,2025-12-13 11:26:11.475617,0 days 00:00:01.373344,0.6517993581024948,1.656255687545918,0.03868184425759209,8,6.710716171125336,664,0.8089744864352026,4.636590285458041,0.7764255049478244,COMPLETE
32,2.20953261275172,2025-12-13 11:26:11.476185,2025-12-13 11:26:13.129032,0 days 00:00:01.652847,0.6577687344891372,1.0568919798927783,0.03233998056120509,8,7.038170806409769,792,0.8217747523982541,4.696380990157508,0.7868120543653547,COMPLETE
33,2.2432880902508816,2025-12-13 11:26:13.129478,2025-12-13 11:26:14.905633,0 days 00:00:01.776155,0.6718460139543453,1.1003041843846249,0.02718895559713724,8,7.488042839246566,801,0.7169654444102135,4.573989715693635,0.8757113872190894,COMPLETE
34,2.195331569445619,2025-12-13 11:26:14.906108,2025-12-13 11:26:17.674613,0 days 00:00:02.768505,0.7911561586089298,0.493219966027884,0.017758364898610043,8,6.425326743080906,850,0.8002647699165362,3.5962782955827106,0.8282356448782645,COMPLETE
35,2.2616164142980524,2025-12-13 11:26:17.675105,2025-12-13 11:26:19.866974,0 days 00:00:02.191869,0.8495087443994263,0.4517275238750161,0.01740173668913819,7,6.195695856430868,954,0.8321915048108329,3.5633101908647373,0.9999253337406206,COMPLETE
36,2.2250710618242544,2025-12-13 11:26:19.867457,2025-12-13 11:26:21.341407,0 days 00:00:01.473950,0.6295824144888126,0.7029428490286525,0.03213265355164825,8,5.531556287532636,862,0.777460278730653,2.8927636257422384,0.8463866097713757,COMPLETE
37,2.3387649987410306,2025-12-13 11:26:21.341872,2025-12-13 11:26:22.926008,0 days 00:00:01.584136,0.6271158594247266,0.742698293565951,0.03183711943413763,6,5.529873960264571,840,0.7721743077803691,2.195908601499001,0.8350603738872913,COMPLETE
38,2.364891874617765,2025-12-13 11:26:22.926468,2025-12-13 11:26:24.352177,0 days 00:00:01.425709,0.6350379930132296,0.015389155319588399,0.04419504358297988,5,6.477859523113501,714,0.5440039671122794,2.978702517592374,0.8035923250484044,COMPLETE
39,2.2363897347638657,2025-12-13 11:26:24.352727,2025-12-13 11:26:25.621853,0 days 00:00:01.269126,0.603960339467935,1.0268848216663695,0.029351097773190286,7,5.338986040601821,619,0.9395259220901367,2.6198367884418587,0.9190529738839482,COMPLETE
