number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
0,3.847631743545856,2025-12-13 11:25:11.800676,2025-12-13 11:25:12.893620,0 days 00:00:01.092944,0.8956816620182574,4.449571894142063,0.007033551026181848,3,6.143231047263127,827,0.0182525086369556,4.152753814710019,0.9574864728553418,COMPLETE
1,2.2841865633326814,2025-12-13 11:25:12.894056,2025-12-13 11:25:15.685513,0 days 00:00:02.791457,0.8644462279424423,3.89168730053418,0.013015623481560969,8,6.069726270358303,1066,0.6429979043144197,3.2920015553693167,0.6778388411013512,COMPLETE
2,2.3405014395169403,2025-12-13 11:25:15.685993,2025-12-13 11:25:16.963136,0 days 00:00:01.277143,0.9845093264797776,1.8122322720333401,0.027206942179774544,6,6.165197287013939,570,0.7774379396523701,2.412603401279793,0.844887211403843,COMPLETE
3,2.299423277555311,2025-12-13 11:25:16.963593,2025-12-13 11:25:18.150454,0 days 00:00:01.186861,0.8783295800313431,1.4292055415323524,0.029049107683462506,8,6.77471976162502,492,0.46388965374126834,3.2549704137903364,0.9388947977563562,COMPLETE
4,2.9234766122677907,2025-12-13 11:25:18.150916,2025-12-13 11:25:19.048168,0 days 00:00:00.897252,0.8205411425468135,3.762106702975834,0.04907989553415417,3,2.4796562927698873,680,0.7415961877067372,4.39593736049038,0.9498834084854011,COMPLETE
5,2.784792681899988,2025-12-13 11:25:19.048724,2025-12-13 11:25:20.543588,0 days 00:00:01.494864,0.8796845095503938,0.8287621494510761,0.008200399972034771,5,4.973061461296564,745,0.3851267537190095,2.666661046516374,0.7453677838113222,COMPLETE
6,2.4542189140812147,2025-12-13 11:25:20.544215,2025-12-13 11:25:21.229740,0 days 00:00:00.685525,0.8728950658855545,2.7824048557212997,0.047447969496909256,5,4.499512567268538,1007,0.9636228270917683,0.5282581092192018,0.8092291687502162,COMPLETE
7,2.3040350269406904,2025-12-13 11:25:21.230243,2025-12-13 11:25:22.136313,0 days 00:00:00.906070,0.88718573178374,2.4583644863064795,0.03365407876907004,7,3.351118885052191,568,0.7591092043454565,3.341905394090719,0.818083468409932,COMPLETE
8,3.559552743464059,2025-12-13 11:25:22.136836,2025-12-13 11:25:22.823928,0 days 00:00:00.687092,0.9365678811835401,0.9659973134898747,0.014907072564081511,3,9.318137966713113,526,0.6108391884958783,1.6692286073367268,0.9541011814655727,COMPLETE
9,3.410333016995778,2025-12-13 11:25:22.824378,2025-12-13 11:25:23.665381,0 days 00:00:00.841003,0.9039204635951635,2.980733736037598,0.015501475404621419,3,7.87074122138033,644,0.9975436967908788,1.1280762928965888,0.8921718266796368,COMPLETE
